benchmark,smt,event,duration,result
SPOON-151_1,smt-225,check,0,false
GUAVA-174_1,smt-225,solve,235,UNSAT
GUAVA-174_1,smt-225,update,1,
GUAVA-174_1,smt-227,check,0,false
SPOON-151_1,smt-225,solve,38,UNSAT
SPOON-151_1,smt-225,update,1,
SPOON-151_1,smt-795,check,4,false
GUAVA-260_1,smt-379,solve,84,UNSAT
GUAVA-260_1,smt-379,update,1,
GUAVA-260_1,smt-202,check,0,false
GUAVA-260_1,smt-202,solve,11,SAT
GUAVA-260_1,smt-27,check,0,false
GUAVA-260_1,smt-27,solve,8,SAT
GUAVA-260_1,smt-312,check,0,false
GUAVA-260_1,smt-312,solve,9,SAT
GUAVA-260_1,smt-281,check,0,false
GUAVA-260_1,smt-281,solve,21,UNSAT
GUAVA-260_1,smt-281,update,0,
GUAVA-260_1,smt-464,check,0,false
GUAVA-260_1,smt-464,solve,9,SAT
GUAVA-260_1,smt-75,check,0,false
GUAVA-78_1,smt-142,solve,5024,UNKNOWN
GUAVA-174_1,smt-227,solve,206,UNSAT
GUAVA-174_1,smt-227,update,1,
GUAVA-260_1,smt-75,solve,17,SAT
GUAVA-260_1,smt-67,check,0,false
GUAVA-174_1,smt-90,check,0,false
GUAVA-260_1,smt-67,solve,10,SAT
GUAVA-260_1,smt-411,check,0,false
GUAVA-174_1,smt-90,solve,24,UNSAT
GUAVA-174_1,smt-90,update,0,
GUAVA-260_1,smt-411,solve,19,SAT
GUAVA-174_1,smt-220,check,0,false
GUAVA-260_1,smt-280,check,0,false
GUAVA-260_1,smt-280,solve,9,UNSAT
GUAVA-260_1,smt-280,update,0,
GUAVA-260_1,smt-147,check,0,false
GUAVA-260_1,smt-147,solve,6,SAT
GUAVA-260_1,smt-88,check,0,false
GUAVA-260_1,smt-88,solve,17,SAT
GUAVA-260_1,smt-297,check,0,false
GUAVA-78_1,smt-162,check,0,false
GUAVA-260_1,smt-297,solve,24,SAT
GUAVA-260_1,smt-167,check,0,false
GUAVA-260_1,smt-167,solve,10,SAT
GUAVA-260_1,smt-333,check,0,false
SPOON-151_1,smt-795,solve,286,UNSAT
SPOON-151_1,smt-795,update,0,
GUAVA-260_1,smt-333,solve,20,UNSAT
GUAVA-260_1,smt-333,update,0,
SPOON-151_1,smt-1173,check,1,true
GUAVA-174_1,smt-220,solve,316,UNSAT
GUAVA-174_1,smt-220,update,0,
GUAVA-260_1,smt-287,check,0,false
SPOON-151_1,smt-952,check,0,true
SPOON-151_1,smt-908,check,0,true
SPOON-151_1,smt-227,check,0,false
GUAVA-174_1,smt-191,check,0,false
GUAVA-260_1,smt-287,solve,8,SAT
GUAVA-260_1,smt-326,check,0,false
GUAVA-260_1,smt-326,solve,15,UNSAT
GUAVA-260_1,smt-326,update,0,
GUAVA-260_1,smt-150,check,0,true
GUAVA-260_1,smt-250,check,0,false
GUAVA-260_1,smt-250,solve,5,UNSAT
GUAVA-260_1,smt-250,update,0,
SPOON-151_1,smt-227,solve,33,UNSAT
GUAVA-260_1,smt-48,check,0,false
SPOON-151_1,smt-227,update,0,
FASTJSON-39_1,smt-18,solve,5028,UNKNOWN
GUAVA-260_1,smt-48,solve,6,SAT
GUAVA-174_1,smt-191,solve,31,UNSAT
GUAVA-174_1,smt-191,update,0,
GUAVA-260_1,smt-18,check,0,false
SPOON-151_1,smt-560,check,1,true
GUAVA-174_1,smt-37,check,0,false
SPOON-151_1,smt-361,check,0,false
GUAVA-260_1,smt-18,solve,55,UNSAT
